date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:58:24	38510/38510	---M--	200	added ('OK')	image/jpeg	etag:%22cee7dab52e64a00ce5052990c312ad52%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebecd261274ed93a4ec_small__silkke.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebecd261274ed93a4ec_small__silkke.jpg	(from https://pierrelouis.webflow.io/)
04:58:24	43725/43725	---M--	200	added ('OK')	image/jpeg	etag:%2284735f7ca7d5c5abfe7ba3882674f236%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebe0c3f22483601b0f7_small__signao-home.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebe0c3f22483601b0f7_small__signao-home.jpg	(from https://pierrelouis.webflow.io/)
04:58:24	44552/44552	---M--	200	added ('OK')	image/jpeg	etag:%223be30889740264a232763dc40154224e%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebec454700873d4f272_small__swile-home.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebec454700873d4f272_small__swile-home.jpg	(from https://pierrelouis.webflow.io/)
04:58:25	59474/59474	---M--	200	added ('OK')	image/jpeg	etag:%227db72538843786537ed4f243d7ac672e%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247e7e517c1b323f2b6ceb_small__tiny-landscape.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247e7e517c1b323f2b6ceb_small__tiny-landscape.jpg	(from https://pierrelouis.webflow.io/)
04:58:25	81765/81765	---M--	200	added ('OK')	image/jpeg	etag:%22bee2047a7cb648e623b4cbff68deccee%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247cacc45470aa01d70e86_small__walex.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247cacc45470aa01d70e86_small__walex.jpg	(from https://pierrelouis.webflow.io/)
04:58:25	48905/48905	---M--	200	added ('OK')	image/jpeg	etag:%2298c4846bc922a1cb0aa3bab9c0545875%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247e7ebeb2ff41d69a8555_small__tiny-title.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247e7ebeb2ff41d69a8555_small__tiny-title.jpg	(from https://pierrelouis.webflow.io/)
04:58:25	31418/31418	---M--	200	added ('OK')	image/jpeg	etag:%225c132f5a77cb74d20944fc11c1bd50c6%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247cacf83589e7d4c1f4c8_small__lombard-cuvee.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247cacf83589e7d4c1f4c8_small__lombard-cuvee.jpg	(from https://pierrelouis.webflow.io/)
04:58:25	43793/43793	---M--	200	added ('OK')	image/jpeg	etag:%22cdafcef1ccc06299886e417ef90ee7f7%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247cac517c1b0cf82b5955_small__aim.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247cac517c1b0cf82b5955_small__aim.jpg	(from https://pierrelouis.webflow.io/)
04:58:26	50108/50108	---M--	200	added ('OK')	image/jpeg	etag:%22dca6c715c0c352a8d5266b6db8503417%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247cac093efa567db8c0f2_small__charles.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247cac093efa567db8c0f2_small__charles.jpg	(from https://pierrelouis.webflow.io/)
04:58:26	32372/32372	---M--	200	added ('OK')	image/jpeg	etag:%227e5f112a03e195849de224ced7b96121%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247cac613ea86fbcc935ea_small__lanvin.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63247cac613ea86fbcc935ea_small__lanvin.jpg	(from https://pierrelouis.webflow.io/)
04:58:26	136900/136900	---M--	200	added ('OK')	image/png	etag:%2235ac6e8e96a5c2da550ec21d2cd82bd6%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/62a847d71c96106c86646e73_bg-noise.png	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/62a847d71c96106c86646e73_bg-noise.png	(from https://pierrelouis.webflow.io/)
04:58:27	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=61ba0d8d68d959d09b491aa4	D:/https___pierrelouis.webflow.io_/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c884ed.js	(from https://pierrelouis.webflow.io/)
04:58:27	638981/638981	---M-Z	200	added ('OK')	text/javascript	etag:%22bfdff3348eab1e107b8425a036d0f834%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/js/pierrelouis.bd7cc4d61.js	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/js/pierrelouis.bd7cc4d61.js	(from https://pierrelouis.webflow.io/)
04:58:32	40570/40570	---MCZ	200	added ('OK')	application/javascript	etag:%2275f5192edb508ea37fa110ff90a552af-ssl-df%22	https://pierrelouis-portfolio-js.netlify.app/main.js	D:/https___pierrelouis.webflow.io_/pierrelouis-portfolio-js.netlify.app/main.js	(from https://pierrelouis.webflow.io/)
04:58:32	26847/26847	---M-Z	200	added ('OK')	application/javascript	etag:W/%2268df-kM0xiSQe8ApBkXCt5mNRkltNCAo%22	https://cdn.jsdelivr.net/npm/@splidejs/splide@3.2.2/dist/js/splide.min.js	D:/https___pierrelouis.webflow.io_/cdn.jsdelivr.net/npm/@splidejs/splide@3.2.2/dist/js/splide.min.js	(from https://pierrelouis.webflow.io/)
